symbol,name,history_days,first_date,last_date,annualized_volatility_pct_252d,median_daily_dollar_volume_252d,market_cap_usd,波动档,流动性档,市值档,历史状态,策略特征组
ABEO,Abeona Therapeutics Inc. Common Stock,2514,2016-07-18,2026-07-17,51.636045821387974,5573445.484566689,398966008.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
ABOS,"Acumen Pharmaceuticals, Inc. Common Stock",1266,2021-07-01,2026-07-17,86.95619987057863,661112.991464138,162512055.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
ACDC,ProFrac Holding Corp. Class A Common Stock,1047,2022-05-13,2026-07-17,91.37972114193667,6339269.985234737,868419614.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
ACET,"Adicet Bio, Inc. Common Stock",2129,2018-01-26,2026-07-17,74.78019216710487,825318.1544427872,75907676.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
ACIU,AC Immune SA Common Stock,2466,2016-09-23,2026-07-17,78.09325345477076,679290.9892320633,223901861.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
ACOG,Alpha Cognition Inc. Common Stock,419,2024-11-12,2026-07-17,68.82393365504068,371879.5044183731,185079884.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
ADUR,Aduro Clean Technologies Inc. Common Stock,481,2024-08-15,2026-07-17,82.17500796177282,3714447.973251343,465075226.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
AEBI,Aebi Schmidt Holding AG Common Stock ,262,2025-07-02,2026-07-17,53.735589371508986,2837172.9989528656,990168140.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
AEYE,"AudioEye, Inc. Common Stock",2514,2016-07-18,2026-07-17,63.01002892402856,1021448.99289608,82581473.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
AFCG,Advanced Flower Capital Inc. Common Stock,1338,2021-03-19,2026-07-17,61.78586809337598,600530.9988498688,66116052.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
AGNT,"AGNT, Inc. Common Stock",2121,2018-02-07,2026-07-17,51.09354533028723,8313600.151777267,752603572.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
AIIR,Air Global PLC Ordinary Shares,266,2025-06-26,2026-07-17,51.47808971797821,379532.9830169678,970338942.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
AIOT,"PowerFleet, Inc. Common Stock",2514,2016-07-18,2026-07-17,58.691922549056926,5568409.414386749,567585114.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
AIRJ,AirJoule Technologies Corporation Class A Common Stock,1118,2022-02-01,2026-07-17,85.0322191953062,1135271.976518631,270778199.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
AIRO,"AIRO Group Holdings, Inc. Common Stock",274,2025-06-13,2026-07-17,85.05942831506897,6279510.747146606,205340055.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
AISP,"Airship AI Holdings, Inc. Class A Common Stock",1303,2021-05-10,2026-07-17,83.76281704590562,2092452.0224571228,68824128.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
AKBA,"Akebia Therapeutics, Inc. Common Stock",2514,2016-07-18,2026-07-17,75.8239389341767,5425509.342765808,359466046.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
ALGS,"Aligos Therapeutics, Inc. Common Stock",1443,2020-10-16,2026-07-17,80.32265870290979,547681.9925308228,35520400.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
ALLO,"Allogene Therapeutics, Inc. Common Stock",1950,2018-10-11,2026-07-17,86.9295591454387,8217513.964289427,617826664.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
ALLT,Allot Ltd. Ordinary Shares,2514,2016-07-18,2026-07-17,61.637016173987156,3247447.93343544,393830947.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
ALTI,"AlTi Global, Inc. Class A Common Stock",1312,2021-04-27,2026-07-17,57.53227070406302,467748.00577163696,524597726.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
ALVO,Alvotech Ordinary Shares,1024,2022-06-16,2026-07-17,72.21860422508345,2281228.4968972206,1080049947.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
ANIK,Anika Therapeutics Inc. Common Stock,2514,2016-07-18,2026-07-17,56.457236140945355,1229882.5073719025,202910766.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
ANIX,"Anixa Biosciences, Inc. Common Stock",2514,2016-07-18,2026-07-17,73.12856150071295,399359.4932079315,115678414.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
AOUT,"American Outdoor Brands, Inc. Common Stock ",1482,2020-08-21,2026-07-17,54.07523950930852,485590.0025367737,173723897.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
AQST,"Aquestive Therapeutics, Inc. Common Stock",2005,2018-07-25,2026-07-17,85.116871957296,9152319.796800613,516923991.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
ARQ,"Arq, Inc. Common Stock",2514,2016-07-18,2026-07-17,86.39005961343042,1189488.000679016,88428091.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
ASMB,"Assembly Biosciences, Inc. Common Stock",2514,2016-07-18,2026-07-17,58.53767947262198,3058016.50762558,426080820.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
ATEX,Anterix Inc. Common Stock,2514,2016-07-18,2026-07-17,59.75453975171874,7528065.181732178,1956671766.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
ATLC,Atlanticus Holdings Corporation Common Stock,2514,2016-07-18,2026-07-17,53.38035385851636,4161052.555847168,1522079938.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
ATOS,"Atossa Therapeutics, Inc. Common Stock",2514,2016-07-18,2026-07-17,87.59543116068488,442130.18516492844,21442289.0,中波动,中流动性,微盘（<0.3B）,历史≥1年,中流动性－中波动
AURA,"Aura Biosciences, Inc. Common Stock",1182,2021-10-29,2026-07-17,57.20925740747539,1353997.9639053345,723020548.0,中波动,中流动性,小盘（0.3B–2B）,历史≥1年,中流动性－中波动
